price,time_scraped,numRooms,area,yearConstructed,state,energyClass,floor,address,geo
350.0,2020-11-03T09:48:12,4.0,78.0,1987.0,Valmis,,3.0," Telliskivi 30, Ülejõe, Pärnu linn, Pärnu, Pärnumaa","{'lat': 58.4042051, 'lng': 24.4949062}"
460.0,2020-11-03T09:48:22,1.0,25.8,2019.0,Uus,,9.0," Sääse tn 14-68, Mustamäe, Tallinn, Harjumaa","{'lat': 59.4083068, 'lng': 24.6911218}"
100.0,2020-11-03T09:48:24,1.0,14.0,,San. remont tehtud,,2.0," Suur-Kaar, Tammelinn, Tartu linn, Tartu, Tartumaa","{'lat': 58.3609544, 'lng': 26.7057088}"
180.0,2020-11-03T09:48:27,29.0,35.0,,San. remont tehtud,,2.0," Kallasmaa 3, Maardu linn, Lasnamäe, Tallinn, Harjumaa","{'lat': 59.476735, 'lng': 25.0125199}"
277.0,2020-11-03T09:48:31,1.0,31.0,,Renoveeritud,,3.0," Mahla 82, Männiku, Nõmme, Tallinn, Harjumaa","{'lat': 59.3721699, 'lng': 24.7192567}"
250.0,2020-11-03T09:48:35,1.0,21.4,1970.0,Renoveeritud,E,5.0," Pakri 4, Paldiski linn, Lääne-Harju vald, Harjumaa","{'lat': 59.349890446242, 'lng': 24.057083966934}"
700.0,2020-11-03T09:48:35,2.0,48.4,2020.0,Uus,B,2.0," Võistluse 6/3, Kesklinn, Kesklinn, Tallinn, Harjumaa","{'lat': 59.4260294, 'lng': 24.7672077}"
1400.0,2020-11-03T09:48:36,4.0,150.0,,Heas korras,,6.0," Raekoja Plats 8, Kesklinn, Tallinn, Harjumaa","{'lat': 59.4377116, 'lng': 24.7449299}"
950.0,2020-11-03T09:48:38,2.0,65.0,,,,2.0," Pikk jalg 7, Kesklinn, Tallinn, Harjumaa","{'lat': 59.4361525, 'lng': 24.7410989}"
450.0,2020-11-03T09:48:59,2.0,46.4,2007.0,Uus,D,1.0," Heldri tee 55, Haabneeme, Viimsi vald, Harjumaa","{'lat': 59.5134062, 'lng': 24.8275564}"
650.0,2020-11-03T09:49:03,2.0,82.1,,Keskmine,,3.0," Rataskaevu tn 4, Vanalinn, Tallinn, Harjumaa","{'lat': 59.4374895, 'lng': 24.7429596}"
950.0,2020-11-03T09:49:05,2.0,119.3,2003.0,Renoveeritud,B,2.0," Pirita tee 26F, Kesklinn, Tallinn, Harjumaa","{'lat': 59.4475899, 'lng': 24.8084469}"
120.0,2020-11-03T09:49:07,2.0,45.2,1966.0,Renoveeritud,,2.0," Koidu 12, Narva-Jõesuu linn, Narva-Jõesuu, Ida-Virumaa","{'lat': 59.461625089799, 'lng': 28.043459908786}"
450.0,2020-11-03T09:49:10,1.0,15.0,,Uus,,3.0," Narva mnt 40, Kesklinn, Tallinn, Harjumaa","{'lat': 59.440964598039, 'lng': 24.77614402771}"
400.0,2020-11-03T09:49:20,2.0,39.0,,Renoveeritud,,4.0," Kilbi 8, Põhja-Tallinn, Tallinn, Harjumaa","{'lat': 59.4588248, 'lng': 24.6811828}"
300.0,2020-11-03T09:49:23,1.0,31.9,,Valmis,,1.0," Jõe 3, Kostivere, Jõelähtme vald, Harjumaa","{'lat': 59.429501815718, 'lng': 25.095324431437}"
325.0,2020-11-03T09:49:34,2.0,39.0,,Heas korras,,2.0," Pelguranna tn 5, Põhja-Tallinn, Tallinn, Harjumaa","{'lat': 59.4537021, 'lng': 24.688561}"
590.0,2020-11-03T09:49:36,3.0,63.8,2020.0,Uus,B,6.0," Paepargi 50/1-45, Pae, Lasnamäe, Tallinn, Harjumaa","{'lat': 59.4342046, 'lng': 24.8096691}"
650.0,2020-11-03T09:49:38,1.0,53.0,,Uus,,7.0," Narva mnt 7, Kesklinn, Tallinn, Harjumaa","{'lat': 59.4375312, 'lng': 24.7600919}"
500.0,2020-11-03T09:49:44,2.0,52.8,1972.0,Renoveeritud,D,3.0," Punane 35, Lasnamäe, Tallinn, Harjumaa","{'lat': 59.4336503, 'lng': 24.8267387}"
350.0,2020-11-03T09:50:22,1.0,33.4,1951.0,Keskmine,,2.0," Tööstuse 43, Põhja-Tallinn, Tallinn, Harjumaa","{'lat': 59.4474599, 'lng': 24.7288976}"
300.0,2020-11-03T09:50:31,3.0,57.3,,Valmis,,2.0," Kreenholmi 31, Narva, Ida-Virumaa","{'lat': 59.3678398, 'lng': 28.1883294}"
500.0,2020-11-03T09:50:36,1.0,38.2,2020.0,Uus,B,2.0," Haapsalu mnt. / Jaama tänav 8-12, südalinn, Keila, Harjumaa","{'lat': 59.3075472, 'lng': 24.4152383}"
500.0,2020-11-03T09:50:42,4.0,64.8,1989.0,Heas korras,D,3.0," Vormsi tn 16, Kuristiku, Lasnamäe, Tallinn, Harjumaa","{'lat': 59.4540336, 'lng': 24.8717879}"
850.0,2020-11-03T09:50:49,3.0,94.3,,Valmis,,4.0," Pärnu mnt 27, Südalinn, Kesklinn, Tallinn, Harjumaa","{'lat': 59.4307923, 'lng': 24.7456798}"
690.0,2020-11-03T09:50:54,2.0,36.0,1999.0,Uus,,4.0," Narva mnt 13a, Kesklinn, Tallinn, Harjumaa","{'lat': 59.4383425, 'lng': 24.766033130734}"
250.0,2020-11-03T09:50:59,2.0,47.0,1970.0,,,4.0," A-A.Tiimanni tn 2, Narva, Ida-Virumaa","{'lat': 59.3172236, 'lng': 28.08295}"
900.0,2020-11-03T09:51:22,3.0,93.4,2004.0,Uus,,6.0," Faehlmanni tn 8, Kadriorg, Kesklinn, Tallinn, Harjumaa","{'lat': 59.4348094, 'lng': 24.7705416}"
450.0,2020-11-03T09:51:24,2.0,54.0,2005.0,Heas korras,,1.0," Kotkapoja 2, Kristiine, Tallinn, Harjumaa","{'lat': 59.4241949, 'lng': 24.7273841}"
370.0,2020-11-03T09:51:35,2.0,45.7,,San. remont tehtud,C,5.0," Sõpruse puiestee 245, Mustamäe, Tallinn, Harjumaa","{'lat': 59.3983985, 'lng': 24.6841198}"
450.0,2020-11-03T09:51:38,2.0,27.0,2018.0,Uus,B,3.0," Kauba 10, Kitseküla, Kesklinn, Tallinn, Harjumaa","{'lat': 59.4181711, 'lng': 24.7429538}"
350.0,2020-11-03T09:51:40,2.0,32.0,,Heas korras,,1.0," Laulu tn, Nõmme, Tallinn, Harjumaa","{'lat': 59.3709303, 'lng': 24.6683976}"
535.0,2020-11-03T09:51:47,3.0,65.8,1976.0,San. remont tehtud,D,3.0," Õismäe tee 128, Väike-Õismäe, Haabersti, Tallinn, Harjumaa","{'lat': 59.4181726, 'lng': 24.6445630000001}"
350.0,2020-11-03T09:51:48,1.0,19.4,2016.0,Heas korras,,2.0," Veerenni 19, Kesklinn, Tallinn, Harjumaa","{'lat': 59.4245527, 'lng': 24.7496525}"
590.0,2020-11-03T09:51:56,2.0,55.8,1967.0,Heas korras,E,1.0," Vambola 8, Kesklinn, Tallinn, Harjumaa","{'lat': 59.431295, 'lng': 24.756319}"
